region,合计,男,女
全国,1332810869,682329104,650481765
北京,19612368,10126430,9485938
天津,12938693,6907091,6031602
河北,71854210,36430286,35423924
山西,35712101,18338760,17373341
内蒙古,24706291,12838243,11868048
辽宁,43746323,22147745,21598578
吉林,27452815,13907218,13545597
黑龙江,38313991,19426106,18887885
上海,23019196,11854916,11164280
江苏,78660941,39626707,39034234
浙江,54426891,27965641,26461250
安徽,59500468,30245513,29254955
福建,36894217,18981054,17913163
江西,44567797,23003521,21564276
山东,95792719,48446944,47345775
河南,94029939,47493063,46536876
湖北,57237727,29391247,27846480
湖南,65700762,33776459,31924303
广东,104320459,54400538,49919921
广西,46023761,23924704,22099057
海南,8671485,4592283,4079202
重庆,28846170,14608870,14237300
四川,80417528,40827834,39589694
贵州,34748556,17905471,16843085
云南,45966766,23856696,22110070
西藏,3002165,1542652,1459513
陕西,37327379,19287575,18039804
甘肃,25575263,13064193,12511070
青海,5626723,2913793,2712930
宁夏,6301350,3227404,3073946
新疆,21815815,11270147,10545668
